Fecha y hora,Vehiculo,Edad,Sexo,Tipo de Siniestro,Otro vehiculo,Lugar del Siniestro
17/02/2012 17:00,MOTO,16,M,COLISION ENTRE VEHICULOS,AUTO,"ELIAS REGULES esq. ECUADOR, CANELONES"
18/02/2012 02:55,PEATON,52,M,ATROPELLO DE PEATON,CAMIONETA,"RUTA 1 KM 31, SAN JOSE"
18/02/2012 12:55,BICICLETA,64,M,COLISION ENTRE VEHICULOS,MOTO,"AV. BARBIERI Y VIERA, SALTO"
19/02/2012 17:45,PEATON,81,F,ATROPELLO DE PEATON,CAMIONETA,"JOSE L. TERRA Y CONCEPCION ARENAL, MONTEVIDEO"
20/02/2012 07:40,PEATON,16,M,ATROPELLO DE PEATON,AUTO,"RUTA 10 - BALNEARIO LA PEDRERA, ROCHA"
21/02/2012 06:20,MOTO,55,M,COLISION ENTRE VEHICULOS,OMNIBUS,"RUTA 1 KM. 47, SAN JOSE"
24/02/2012 03:30,MOTO,34,M,COLISION ENTRE VEHICULOS,CAMION,"SENDA D , CANELONES"
24/02/2012 09:30,AUTO,82,F,DESPISTE,-,"SARANDI  esq. BRASIL, RIVERA"
24/02/2012 15:20,BICICLETA,29,M,COLISION ENTRE VEHICULOS,CAMION,"CAMINO BAJO DE LA PETISA  esq. CAMINO BUFFA, MONTEVIDEO"
25/02/2012 00:28,MOTO,27,M,COLISION ENTRE VEHICULOS,CAMIONETA,"EMILIO CASTELAR esq. ROBERTO BERRO, MONTEVIDEO"
25/02/2012 10:05,BICICLETA,53,M,COLISION ENTRE VEHICULOS,MOTO,"JOSE SALVO Y RIVERA - LACAZE, COLONIA"
25/02/2012 16:35,AUTO,53,M,COLISION ENTRE VEHICULOS,AUTO,"SARANDI esq. BRASIL, RIVERA"
25/02/2012 23:30,BICICLETA,20,F,COLISION ENTRE VEHICULOS,AUTO,"MANUEL ORIBE Y OFICIAL 1, SALTO"
26/02/2012 00:30,MOTO,18,F,COLISION ENTRE VEHICULOS,AUTO,"AVENIDA INGENIERO LUIS GIANNATTASIO esq. AVENIDA PEREZ BUTLER, CANELONES"
27/02/2012 06:30,AUTO,Sin Dato,F,DESPISTE,-,"RUTA 1 KM 169, COLONIA"
29/02/2012 00:45,BICICLETA,47,M,COLISION ENTRE VEHICULOS,CAMION,"RUTA 3 KM. 378, PAYSANDU"
29/02/2012 04:05,MOTO,20,M,COLISION ENTRE VEHICULOS,CAMIONETA,"RIVERA INDARTE esq. DOCTOR MARTIN BERINDUAGUE, MONTEVIDEO"
29/02/2012 22:05,AUTO,46,F,COLISION ENTRE VEHICULOS,CAMIONETA,"BOULEVARD ARTIGAS esq. SIN NOMBRE, MALDONADO"
2/3/12 19:25,AUTO,58,M,COLISION ENTRE VEHICULOS,CAMION,"RUTA 3 PUENTE EL JUNCAL, FLORES"
2/3/12 19:30,PEATON,86,M,ATROPELLO DE PEATON,MOTO,"SOCA Y DIEGO LAMAS, SALTO"
2/3/12 22:25,BICICLETA,12,M,COLISION ENTRE VEHICULOS,MOTO,"AMEGHINO Nro. 5002 esq. SERGIPE, MONTEVIDEO"
3/3/12 0:00,MOTO,42,M,COLISION ENTRE VEHICULOS,MOTO,"COSTANERA Y CERVANTES, SALTO"
3/3/12 8:00,AUTO,20,M,COLISION ENTRE VEHICULOS,CAMIONETA,"BOULEVARD ARTIGAS esq. LOUVRE, MALDONADO"
4/3/12 6:30,MOTO,30,F,CAIDA,-,"RUTA 93 , MALDONADO"
4/3/12 8:15,MOTO,20,M,DESPISTE,-,"RUTA 1 KM 144, COLONIA"
4/3/12 22:45,MOTO,15,M,COLISION ENTRE VEHICULOS,MOTO,"RUTA 26 KM 383, CERRO LARGO"
4/3/12 22:45,MOTO,19,M,COLISION ENTRE VEHICULOS,MOTO,"RUTA 26 KM 383, CERRO LARGO"
7/3/12 1:05,AUTO,37,M,DESPISTE,-,"AVENIDA GENERAL SAN MARTIN esq. AVENIDA GUSTAVO VOLPE, MONTEVIDEO"
7/3/12 7:50,MOTO,27,M,COLISION ENTRE VEHICULOS,AUTO,"BOULEVARD JOSE BATLLE Y ORDO„EZ esq. NEIRA, MONTEVIDEO"
7/3/12 11:05,PEATON,71,F,ATROPELLO DE PEATON,MOTO,"AVENIDA DAMASO ANTONIO LARRA„AGA esq. SEBASTIAN ELCANO, MONTEVIDEO"
7/3/12 13:00,MOTO,19,M,COLISION ENTRE VEHICULOS,CAMIONETA,"RUTA 1 KM 78 , SAN JOSE"
